#TYPE Microsoft.PowerShell.Commands.HistoryInfo
"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"1","cd D:\adibha\Repos\PROSE","Completed","3/24/2018 10:06:04 PM","3/24/2018 10:06:04 PM"
"2","git status","Completed","3/24/2018 10:06:09 PM","3/24/2018 10:06:09 PM"
"3","git reset --hard 8f5a5dd00e986815795fdc71bd03c68091c1b8c2","Completed","3/24/2018 10:06:32 PM","3/24/2018 10:06:33 PM"
"4","dotnet build","Completed","3/24/2018 10:06:40 PM","3/24/2018 10:07:41 PM"
"5","git branch","Completed","3/25/2018 2:03:51 AM","3/25/2018 2:03:52 AM"
"6","git log","Completed","3/25/2018 2:03:55 AM","3/25/2018 2:04:01 AM"
"7",".\scripts\cleanAllBin.ps1","Completed","3/25/2018 2:04:17 AM","3/25/2018 2:04:23 AM"
"8","dotnet build","Completed","3/25/2018 2:04:28 AM","3/25/2018 2:05:28 AM"
"9","git log","Completed","3/25/2018 2:10:07 AM","3/25/2018 2:10:29 AM"
"10","git branch","Completed","3/25/2018 2:10:33 AM","3/25/2018 2:10:33 AM"
"11","gi checkout develop","Completed","3/25/2018 2:10:45 AM","3/25/2018 2:10:46 AM"
"12","git checkout develop","Completed","3/25/2018 2:10:50 AM","3/25/2018 2:10:55 AM"
"13","git branch -D temp/adibha/TTextEntities","Completed","3/25/2018 2:11:12 AM","3/25/2018 2:11:12 AM"
"14","gt pull origin origin/temp/adibha/TTextEntities","Completed","3/25/2018 2:11:35 AM","3/25/2018 2:11:35 AM"
"15","git pull origin origin/temp/adibha/TTextEntities","Completed","3/25/2018 2:11:44 AM","3/25/2018 2:11:48 AM"
"16","git pull origin/temp/adibha/TTextEntities","Completed","3/25/2018 2:12:00 AM","3/25/2018 2:12:01 AM"
"17","git pull origin temp/adibha/TTextEntities","Completed","3/25/2018 2:12:18 AM","3/25/2018 2:12:23 AM"
"18","git branch","Completed","3/25/2018 2:12:37 AM","3/25/2018 2:12:38 AM"
"19","git status","Completed","3/25/2018 2:12:42 AM","3/25/2018 2:12:42 AM"
"20","git checkout -- *","Completed","3/25/2018 2:12:49 AM","3/25/2018 2:12:49 AM"
"21","git log","Completed","3/25/2018 2:12:57 AM","3/25/2018 2:13:11 AM"
"22","git reset head ~1","Completed","3/25/2018 2:14:05 AM","3/25/2018 2:14:06 AM"
"23","git status","Completed","3/25/2018 2:14:13 AM","3/25/2018 2:14:13 AM"
"24","git log","Completed","3/25/2018 2:14:24 AM","3/25/2018 2:14:36 AM"
"25","git checkout -- *","Completed","3/25/2018 2:14:42 AM","3/25/2018 2:14:42 AM"
"26","git status","Completed","3/25/2018 2:14:51 AM","3/25/2018 2:14:51 AM"
"27","git branch","Completed","3/25/2018 2:37:57 AM","3/25/2018 2:37:57 AM"
"28","git reset --hard a85fa556d7fdd3982212ede2a31bc040bf41c50d","Completed","3/25/2018 2:38:32 AM","3/25/2018 2:38:41 AM"
"29","git pull origin develop","Completed","3/25/2018 2:38:54 AM","3/25/2018 2:41:59 AM"
"30","git fetch origin temp/adibha/TTextEntities","Completed","3/25/2018 2:45:50 AM","3/25/2018 2:45:54 AM"
"31","git checkout temp/adibha/TTextEntities","Completed","3/25/2018 2:46:15 AM","3/25/2018 2:46:21 AM"
"32",".\scripts\cleanAllBin.ps1","Completed","3/25/2018 2:46:34 AM","3/25/2018 2:46:37 AM"
"33","dotnet build","Completed","3/25/2018 2:46:46 AM","3/25/2018 2:47:51 AM"
"34","./prose.sln","Completed","3/25/2018 2:52:00 AM","3/25/2018 2:52:00 AM"
"35","dotnet build","Completed","3/25/2018 3:08:53 AM","3/25/2018 3:12:52 AM"
"36","scipts/cle","Completed","3/26/2018 11:25:06 AM","3/26/2018 11:25:06 AM"
"37",".\scripts\cleanAllBin.ps1","Completed","3/26/2018 11:25:11 AM","3/26/2018 11:25:16 AM"
"38","dotnet build","Completed","3/26/2018 11:25:26 AM","3/26/2018 11:26:31 AM"
"39","dotnet build","Stopped","3/26/2018 11:27:34 AM","3/26/2018 11:30:09 AM"
